state,total_customers,total_revenue
SP,40501,11539406.3
RJ,12350,4110803.14
MG,11354,3637783.34
RS,5345,1722945.58
PR,4923,1563417.6
SC,3546,1190255.56
BA,3256,1182275.62
DF,2080,692246.7
ES,1995,635315.86
GO,1957,668424.7
PE,1593,617944.1
CE,1279,532873.54
PA,946,424047.14
MT,886,362448.84
MA,717,295607.1
MS,701,268735.1
PB,517,275677.1
PI,476,210356.38
RN,474,201429.56
AL,397,188344.98
SE,335,140578.26
TO,274,120014.74
RO,243,113932
AM,145,55170.94
AC,80,39150.66
AP,67,32283.62
RR,41,18079.04
