category,total_orders,total_revenue,avg_price
beleza_saude,8647,1233131.72,130.28
relogios_presentes,5495,1166176.98,199.04
cama_mesa_banho,9272,1023434.76,93.44
esporte_lazer,7530,954852.55,113.25
informatica_acessorios,6530,888724.61,116.26
moveis_decoracao,6307,711927.69,87.25
utilidades_domesticas,5743,615628.69,90.6
cool_stuff,3559,610204.1,164.12
automotivo,3810,578966.65,139.85
brinquedos,3804,471286.48,116.94
ferramentas_jardim,3448,470495.28,110.24
bebes,2809,400421.84,134.28
perfumaria,3086,390144.65,116.81
telefonia,4093,309860.23,69.95
moveis_escritorio,1254,268154.31,160.76
