state,total_orders,avg_delivery_days,avg_days_early_late,late_deliveries,late_delivery_pct
AL,826,24.5,8.7,190,23.0
MA,1494,21.5,9.6,282,18.9
PI,990,19.4,11.3,152,15.4
CE,2672,21.2,10.8,392,14.7
SE,700,21.5,10.0,102,14.6
BA,6760,19.3,10.8,914,13.5
RJ,25704,15.2,11.8,3328,12.9
TO,560,17.6,12.1,70,12.5
ES,4066,15.7,10.5,488,12.0
PA,1950,23.7,14.1,234,12.0
MS,1430,15.5,11.1,162,11.3
RR,92,29.3,17.3,10,10.9
PB,1072,20.4,13.3,114,10.6
RN,970,19.2,13.6,102,10.5
PE,3304,18.4,13.3,344,10.4
SC,7274,14.9,11.5,692,9.5
GO,4040,15.5,12.2,320,7.9
RS,10932,15.2,13.9,764,7.0
DF,4280,12.9,12.0,294,6.9
MT,1814,18.0,14.4,120,6.6
SP,83492,8.7,11.1,4774,5.7
MG,23270,11.9,13.2,1276,5.5
PR,10090,11.9,13.3,492,4.9
AP,136,27.2,19.7,6,4.4
AM,296,26.4,19.6,12,4.1
AC,162,21.0,20.7,6,3.7
RO,506,19.3,20.1,14,2.8
